Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
agradable,¡Maravillosa vista! El exterior me impresionó más que el interior. Los detalles y tal son increíbles. Gratis para entrar y vale la pena el tiempo.,,5,"Gilbert, AZ",1 de junio de 2021,jun de 2021
Interesante,"La visita a la catedral metropolitana es increíble ya que en ella se puede apreciar arte sacro y diferentes muestras de la religión católica ,me llamo mucho la atención el retablo del altar principal.",,4,"Chimalhuacán, México",25 de mayo de 2021,jul de 2020
gran catedral,"Esta gran catedral está cerca del Zócalo y es grande y tiene partes lujosas para la catedral, como suelen ser esas iglesias.",,4,"Ámsterdam, Países Bajos",2 de mayo de 2021,abr de 2021
Este lugar es trascendente ya seas religioso o no.,"Qué fantástica pieza de arquitectura, increíblemente ornamentada. El interior es tranquilo, tenue, fresco e inspirador. Con los techos abovedados muy altos y los arcos, sentí que si había un dios, estaba en ese lugar. Y pan de oro por todas partes, magníficas estatuas y pinturas; fenomenal carpintería y artesanía. No puedo decir lo suficiente al respecto. Todos los días de mis frecuentes visitas a la Ciudad de México me detengo aquí para relajarme: un alivio del calor del sol al aire libre y del ajetreo del zócalo al que da la catedral. Si eres de los que resiente la riqueza de la iglesia católica, sáltatela, porque aquí está en todo su esplendor para levantarte el ánimo e inspirar tu alma.",,5,,11 de marzo de 2021,mar de 2021
Una vista lejana y un altar alto :),"Entre las muchas grandes catedrales de ""enormes e imponentes"" tamaños que se visitaron en América del Sur y Central se encuentra esta, pero lo que es ""más memorable"" de esta catedral en comparación con las demás (yo diría más o menos una singularidad de esta catedral) es su ""lejana & vista amplia que sí solo es posible debido a la ""magnitud del espacio"" frente a la Catedral (que es el del Zócalo de la ""plaza principal"" de la ciudad): realmente la estructura para ver con ""mayor asombro"" a medida que avanza lejos de ella en la Plaza con los ""mejores lugares"" para la foto, en mi opinión, siendo el que tiene el letrero 'CDMX' al otro lado de la Plaza y el que está en la esquina suroeste de la Plaza con la vista diagonal que incluye no solo la Catedral sino también Palacio Nacional a lo largo del lado este de la Plaza. Y en cuanto al interior de esta catedral de ""dos partes"", una de las cuales es la parte principal y la otra es más pequeña pero sigue siendo una parte considerable (una especie de rareza en la estructura también con solo otras dos catedrales de este tipo visitadas en otros lugares, a saber, las principales catedrales de Bogotá en Colombia y Cusco en Perú), sí, hay en esta catedral (al igual que en casi todas las demás ""catedrales principales"" visitadas antes de esta) grandes santuarios a lo largo con agradable elaboración y características ornamentadas propias, pero mi opinión es que la grandeza de esta catedral se encuentra principalmente alrededor de los dos altares ""dorados brillantes"" (en la parte principal), de los cuales el que es el ""altar principal"" es muy probable que sea el ""altar más alto"" jamás visto (entre todos los que hay en América del Sur y Central! ) .Y así, alrededor del ""gran espacioso"" Zócalo con esta catedral en el lado norte y el Palacio Nacional en el lado este (con coloridos murales en su segundo nivel que son representaciones de escenas mayas ""bastante brillantes""), también se sugiere que cerca esté la Iglesia de Santo Domingo (que a pesar de su apariencia externa modesta tiene un interior ""bastante ornamentado"") a solo unos 5 minutos a pie hacia el norte, que es solo un ""camino recto"" desde la esquina noroeste de la Plaza. Y como ""un día más"" en las inmediaciones de la Plaza (a unos 10 minutos a pie hacia el oeste con la opción de pasar por una ""calle peatonal"" bastante animada con artistas callejeros y demás) hay 3 ""sitios impresionantes"" más de la ciudad: la Torre Latinoamericana de 44 pisos, el ""muy adornado"" Palacio de Bellas Artes y el Palacio Postal con un ""interior brillante"".",,4,"Coquitlam, Canadá",12 de febrero de 2021,mar de 2020
Metropolitana,"Catedral muy linda y hermosa con mucho arte, pero no me gusta porque la construyeron con piedras de los templos aztecas",,4,"Tuzi, Montenegro",8 de enero de 2021,ene de 2021
el sufrimiento emana de las piedras,"Este palacio de culto fue construido con los ladrillos de los templos aztecas que anteriormente se encontraban donde se encuentra actualmente esta estructura, hundiéndose en el suelo. Cualquiera con educación histórica puede sentir el dolor y el sufrimiento que irradian esas piedras. Todo un pueblo masacrado y conquistado, su cultura destruida y robada. Es realmente un lugar doloroso y una de las experiencias más austeras de mi vida.",,2,"Vilna, Lituania",8 de enero de 2021,jul de 2020
Catedral muy hermosa,Esta es una iglesia muy impresionante. Muy bonito y rico en arte e historia. Una visita obligada en la Ciudad de México.,,4,"Ann Arbor, MI",30 de noviembre de 2020,dic de 2019
"Hermoso Lugar, Excelentes medidas ","Es uno de los lugares más lindos de CdMx, en mi caso fui en tiempos de contingencia y las medidas me parecieron muy adecuadas, solamente se podía acceder por enfrente y salir por un costado, de tal manera que el recorrido se hacia en un solo sentido, es sumamente amplia, así que no hay forma de romper la distancia, todo el lugar es imponente, vale mucho la pena visitarlo. ",,5,"Aguascalientes, México",28 de noviembre de 2020,nov de 2020
Imperdible,Una obra arquitectónica como pocas en el mundo!!!Digna de admirar por dentro y por fueraAunq no seas católico debes visitarla 👍🏼Dato: hay unos vidrios en el piso donde se pueden observar construcciones antiguas,,5,"Ciudad de México, México",18 de noviembre de 2020,mar de 2020
Hermosa en todos los sentidos,"Fuimos muy afortunados en conocer esta catedral sin muchas personas... porq pudimos apreciar toda su arquitectura y arte con detenimiento.Es hermosa y tiene el órgano más grande de Latinoamérica, se puede escuchar tocar en algunas horas del día, y dan información de ello en la catedral fácilmente, también te dan un recorrido guiado que fue interesante.",,5,"Ciudad de México, México",17 de noviembre de 2020,mar de 2020
Vista histórica,Muy bonita vista histórica impresionante por dentro y por fuera ubicada en el área de la plaza Zócalo cerca de muchos otros lugares de interés.,,4,"San Francisco, CA",14 de noviembre de 2020,nov de 2020
Vale la pena detenerse,"Visité la iglesia durante una peregrinación. La iglesia es muy antigua pero hermosa. Debido al suelo pantanoso sobre el que está construida la Ciudad de México, la iglesia es más baja que la superficie pavimentada circundante.",,4,Jerseyville Illiois,26 de octubre de 2020,dic de 2019
¡Amen!,"Super el recorrido de las catacumbas, dicen que en el cristo negro, esta una parte de una piedra filosofal, dicen, dicen. ",,5,"Ciudad de México, México",24 de octubre de 2020,nov de 2019
Iglesia Central de la Ciudad de México,Esta es una hermosa iglesia con tantas áreas hermosas para explorar en su interior. Entra y ve este ícono nacional de México.,,5,,20 de septiembre de 2020,sept de 2020
Un lugar icónico de la CDMX,"La historia del la Ciudad se vive en el centro histórico, es un monumento que tienes que visitar con un guía o solo, tienes que preguntar si puedes visitar el campanario y ver los ventanales que estan en el piso en la parte de afuera de la catedral para observar los vestigios arqueológicos que hay.Un lugar totalmente recomendable para visitar.",,5,"Ciudad de México, México",23 de agosto de 2020,ago de 2020
Expresión de fervor religioso !!!!!!!!!!.....,"Una Catedral con una arquitectura impresionante,llena del fervor religioso de México ;tiene una sacristía admirable donde se puede ver el Arte Virreinal.",,5,"Lima, Perú",5 de agosto de 2020,ene de 2020
experiencia total,"Un edificio lleno de arte y de historia, puede uno deambular por sus pasillos deleitándose con sus maravillas. Para los que profesan el catolicismo  es un lugar sobrecogedor. Es gratis la entrada no hay que pagar como en España en algunos edificios religiosos.",,5,,23 de junio de 2020,ene de 2020
Hermoso,"Si bien no soy religiosa, la arquitectura y la historia del lugar valen la pena. En el centro, pueden verse con los sismos como se ha ido corriendo el centro de la catedral.",,5,"Buenos Aires, Argentina",11 de mayo de 2020,jun de 2019
La Catedral,"Una mezcla hermosa de construcción, gótica, barroca y neoclásica, ubicada a un costado del Palacio Nacional, es considerada como la más antigua de latinoamérica, donde sus múltiples capillas, retablos, estatuas, pulpitos y cuadros embellecen su ornamentación, sobresale principalmente su altar mayor majestuosamente chapado en oro y su descomunal órgano monumental, digno de verse y escucharse.",,5,"Ciudad de México, México",27 de abril de 2020,mar de 2020
TOTALMENTE HERMOSO,"Este edificio fue simplemente increíble, entrar y ver una iglesia de este tamaño y hermosa fue increíble ver todo el arte en las paredes.",,5,"Dover, Pensilvania",25 de abril de 2020,feb de 2020
Imponente,"La Catedral Metropolitana, te mostrará en sus cimientos construcciones arqueológicas, muestra de la superposición de una cultura sobre otra, el órgano monumental y mucho más. Te sugiero una visita guiada o tours especiales para visitar el campanario, ya que la apreciarás aún más.",,5,"Ciudad de México, México",24 de marzo de 2020,nov de 2019
edificio lleno de espiritu catolico,Interior a la vez sencillo y recogido para rezar con elementos decorativos sencillos ademas de un espacio muy grande!,,5,"Calais, Francia",12 de marzo de 2020,feb de 2020
Los Campanarios de la Catedral,"Alguna vez has visitado los Campanarios de la Catedral?? Es una gran experiencia, desde que ingresas por esa torre, su escalera de caracol y llegar al techo, la fabulosa explicación de cómo llegaron ahí las Campanas, sus nombres y las fantásticas historias que ahí se narran!! Las culturas que se distinguen desde la altura: Prehispánica, Colonial y moderna!! Te invito a que conozcas esta maravilla de la CDMX!!!",,5,"Ciudad de México, México",11 de marzo de 2020,abr de 2019
Grandiosa,"Es una catedral granciosa, digna de cualquier nombramiento de patrimonio de la humanidad. Tardaron 400 años en construirla, así que hay que tomarse más de dos hoaras para visitarla y ver cada siglo de construcción. Y dar nuestro respeto a la Iglesia católica que la hizo polible.",,5,"Ciudad de México, México",6 de marzo de 2020,jul de 2019
Visita a la CDMX,"La catedral metropolitana de la CDMX es una construcción impresionante que no te puedes perder en tu visita a ésta metrópoli. Los detalles en su interior y exterior son dignos de admiración, quedamos realmente maravillados.",,4,"Mérida, México",4 de marzo de 2020,mar de 2020
Misa,"Una visita obligaba a esta obra arquitectónica de la CDMX, y sobre todo cuando celebras algo importante con tu familia, fue una experiencia inolvidable.",,5,"Acapulco, México",4 de marzo de 2020,feb de 2020
Imponente,"La catedral metropolitana es imponente, está en el Zócalo y se puede visitar completa en 2 horas como minimo",,4,"Buenos Aires, Argentina",27 de febrero de 2020,feb de 2020
Misa,"Se encuentra ubicada en la plaza del Zocalo. Tiene una arquitectura genial. Dentro tiene pinturas y esculturas de santos, y otros.",,5,"Guayaquil, Ecuador",26 de febrero de 2020,feb de 2020
Impresionante,Enorme catedral... sin duda un imperdible arquitectónico y cultural de la Ciudad de México... construida en parte con piezas recicladas del templo mayor que está justo al lado... debe visitarse...  o necesita ser creyente... recomiendo 100%.,,5,"Concepción, Chile",26 de febrero de 2020,feb de 2020
Catedral Metropolitana,"Te dire la verdad, me da una mezcla de admiración y coraje este lugar, es enorme e impresionante y a la vez saber que se hizo con las mismas piedras del Templo Mayor, además con sudor y sangre de nuestros hermanos aztecas, total tu decides.",,5,"Mexicali, México",24 de febrero de 2020,feb de 2020
